identity,labels,node_vm_unique_id,estimation_run_time,cpu,health,request_unique_id,node_unique_id,start_date_time,status,ram,elementId
8000,Node_VM,9bca6b2b-c7c2-4a2d-b57f-b64d651c3d23,64,6,healthy,78674101-37cc-4d98-9151-3ece282749d2,dec5c371-a50e-43bb-8fe5-4dbdf475d063,2025-05-19T23:37:50.446923,active,20,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:8000
8001,Node_VM,1f2efbd8-b0f2-409a-8af3-612b519f9240,112,6,unhealthy,ef59e9d9-b85f-40c5-b2f6-1e79ee27458d,fdb7a35b-210d-40f2-82d9-80cd3d9d3601,2025-05-19T23:37:52.534767,under maintenance,20,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:8001
8002,Node_VM,60720786-d158-4f0f-ae74-41c91f0e028b,22,4,warning,3bea9883-0476-4869-89be-1abc01fe24a7,fad44c9d-ef9e-4fd5-9ff3-4e6c11dbdd30,2025-05-19T23:37:52.561772,under maintenance,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:8002
8003,Node_VM,63937e65-9360-4319-9b6e-3175e6db8441,13,6,warning,6641bb21-ebb7-43f5-87a7-f26c7efc947c,ed3bd01d-682f-48a1-9dfd-71693ff43179,2025-05-19T23:37:52.576705,active,20,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:8003
8004,Node_VM,13a05e12-3647-494b-bf35-a95a65d10d79,61,2,warning,0e6bdb76-bcf5-4e9b-b432-ff08347ac3b4,db2fa6dc-c53a-4669-ace5-b97e5f1934a0,2025-05-19T23:37:52.580694,active,2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:8004
8005,Node_VM,974e7142-7a43-45d6-8a6b-d3da536edef2,74,2,warning,ee1a25da-13d9-4cd0-9390-3a838dfa1929,108b314e-b12c-4a7a-94c2-bb61872d31a0,2025-05-19T23:37:52.595694,active,2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:8005
8006,Node_VM,d0038cbe-9d4a-48dd-983e-f918b95f9e0a,32,7,unhealthy,76c750f2-6492-4516-b704-91339689ba04,c1226b0d-1e6b-4cb4-842c-16a8dc1a05b6,2025-05-19T23:37:52.599644,active,24,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:8006
8007,Node_VM,111c5c0a-b710-4693-94c0-e972429885c4,33,4,unhealthy,2ddc243e-521a-469b-955a-c617ec7edf86,bd417f75-920f-441e-82c7-08f5b49b3eb3,2025-05-19T23:37:52.602672,under maintenance,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:8007
8008,Node_VM,058bba23-9af1-4981-9efe-a5fcec2cef90,72,7,healthy,4eae06ba-4bd7-411f-a21f-c1fed9e9eb13,e6acb54c-a297-46a7-8718-013c4cea03b1,2025-05-19T23:37:52.606637,inactive,24,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:8008
8009,Node_VM,6894aa22-0bd9-430a-a3c4-dcf618f254f7,49,8,unhealthy,cdb4d510-3b20-4efc-956b-171d2462d158,3f42c941-ef14-48a7-931e-f609c07532bc,2025-05-19T23:37:52.610616,active,32,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:8009
